date,query_count
1/11/2024,160
1/12/2024,110
1/15/2024,66
1/16/2024,103
1/17/2024,225
1/18/2024,119
1/19/2024,153
1/22/2024,100
1/23/2024,51
1/24/2024,37
1/25/2024,61
1/26/2024,105
1/29/2024,96
1/30/2024,71
1/31/2024,114
2/1/2024,82
2/2/2024,67
2/5/2024,143
2/6/2024,83
2/7/2024,109
2/8/2024,78
2/9/2024,74
2/12/2024,87
2/13/2024,81
2/14/2024,87
2/15/2024,83
2/16/2024,75
2/19/2024,66
2/20/2024,87
2/21/2024,170
2/22/2024,68
2/23/2024,122
2/26/2024,168
2/27/2024,98
2/28/2024,164
2/29/2024,115
3/1/2024,92
3/4/2024,48
3/5/2024,27
3/6/2024,83
3/7/2024,33
3/8/2024,112
3/11/2024,57
3/12/2024,51
3/13/2024,77
3/14/2024,38
3/15/2024,45
3/18/2024,105
3/19/2024,48
3/20/2024,87
3/21/2024,50
3/22/2024,60
3/25/2024,75
3/26/2024,35
3/27/2024,43
3/28/2024,73
3/29/2024,50
4/1/2024,106
4/2/2024,112
4/3/2024,161
4/4/2024,103
4/5/2024,133
4/8/2024,158
4/9/2024,148
4/10/2024,108
4/11/2024,88
4/12/2024,65
4/15/2024,85
4/16/2024,96
4/17/2024,82
4/18/2024,82
4/19/2024,112
4/22/2024,79
4/23/2024,83
4/24/2024,110
4/25/2024,100
4/26/2024,94
4/29/2024,141
4/30/2024,152
5/1/2024,116
5/2/2024,73
5/3/2024,60
5/6/2024,72
5/7/2024,79
5/8/2024,56
5/9/2024,39
5/10/2024,100
5/13/2024,34
5/14/2024,48
5/15/2024,42
5/16/2024,30
5/17/2024,69
5/20/2024,42
5/21/2024,128
5/22/2024,23
5/23/2024,61
5/24/2024,35
5/27/2024,11
5/28/2024,75
5/29/2024,97
5/30/2024,33
5/31/2024,81
6/3/2024,29
6/4/2024,51
6/5/2024,94
6/6/2024,79
6/7/2024,24
6/10/2024,57
6/11/2024,83
6/12/2024,61
6/13/2024,25
6/14/2024,52
6/17/2024,23
6/18/2024,69
6/19/2024,25
6/20/2024,105
6/21/2024,104
6/24/2024,113
6/25/2024,75
6/26/2024,49
6/27/2024,25
6/28/2024,42
7/1/2024,37
7/2/2024,39
7/3/2024,57
7/4/2024,89
7/5/2024,165
7/8/2024,190
7/9/2024,123
7/10/2024,63
7/11/2024,32
7/12/2024,56
7/15/2024,62
7/16/2024,142
7/17/2024,139
7/18/2024,180
7/19/2024,24
7/22/2024,116
7/23/2024,190
7/24/2024,347
7/25/2024,173
7/26/2024,89
7/29/2024,71
7/30/2024,44
7/31/2024,66
8/1/2024,100
8/2/2024,51
8/5/2024,42
8/6/2024,247
8/7/2024,328
8/8/2024,35
8/9/2024,16
8/12/2024,55
8/13/2024,76
8/14/2024,48
8/15/2024,51
8/16/2024,19
8/19/2024,16
8/20/2024,19
8/21/2024,20
8/22/2024,36
8/23/2024,16
8/26/2024,22
8/27/2024,35
8/28/2024,75
8/29/2024,21
8/30/2024,16
9/2/2024,11
9/3/2024,87
9/4/2024,50
9/5/2024,57
9/6/2024,151
9/9/2024,52
9/10/2024,19
9/11/2024,48
9/12/2024,96
9/13/2024,16
9/16/2024,19
9/17/2024,25
9/18/2024,9
9/19/2024,27
9/20/2024,53
9/23/2024,38
9/24/2024,29
9/25/2024,34
9/26/2024,17
9/27/2024,31
9/30/2024,26
10/1/2024,23
10/2/2024,16
10/3/2024,16
10/4/2024,16
10/7/2024,23
10/8/2024,21
10/9/2024,98
10/10/2024,123
10/11/2024,27
10/14/2024,20
10/15/2024,23
10/16/2024,19
10/17/2024,100
10/18/2024,179
10/21/2024,54
10/22/2024,25
10/23/2024,24
10/24/2024,25
10/25/2024,32
10/28/2024,24
10/29/2024,32
10/30/2024,20
10/31/2024,34
11/1/2024,34
11/4/2024,30
11/5/2024,178
11/6/2024,52
11/7/2024,34
11/8/2024,29
11/11/2024,27
11/12/2024,158
11/13/2024,66
11/14/2024,162
11/15/2024,130
11/18/2024,68
11/19/2024,166
11/20/2024,122
11/21/2024,58
11/22/2024,58
11/25/2024,44
11/26/2024,66
11/27/2024,44
11/28/2024,10
11/29/2024,24
12/2/2024,70
12/3/2024,82
12/4/2024,94
12/5/2024,54
12/6/2024,76
12/9/2024,146
12/10/2024,60
12/11/2024,72
12/12/2024,25
12/13/2024,23
12/16/2024,31
12/17/2024,24
12/18/2024,33
12/19/2024,30
12/20/2024,22
12/23/2024,15
12/24/2024,9
