date,Visits
8/14/2023,40
8/15/2023,34
8/16/2023,40
8/17/2023,39
8/18/2023,60
8/21/2023,44
8/22/2023,29
8/23/2023,39
8/24/2023,34
8/25/2023,43
8/28/2023,39
8/29/2023,35
8/30/2023,49
8/31/2023,26
9/1/2023,32
9/5/2023,52
9/6/2023,40
9/7/2023,24
9/8/2023,39
9/11/2023,42
9/12/2023,34
9/13/2023,40
9/14/2023,39
9/15/2023,44
9/18/2023,41
9/19/2023,33
9/20/2023,25
9/21/2023,27
9/22/2023,36
9/25/2023,51
9/26/2023,27
9/27/2023,30
9/28/2023,42
9/29/2023,54
10/2/2023,55
10/3/2023,29
10/4/2023,38
10/5/2023,38
10/6/2023,64
10/10/2023,54
10/11/2023,47
10/12/2023,34
10/13/2023,31
10/16/2023,37
10/17/2023,37
10/18/2023,42
10/19/2023,25
10/20/2023,49
10/23/2023,42
10/24/2023,37
10/25/2023,44
10/26/2023,38
10/27/2023,43
10/30/2023,46
10/31/2023,34
11/1/2023,24
11/2/2023,58
11/3/2023,68
11/6/2023,124
11/7/2023,111
11/8/2023,79
11/9/2023,86
11/13/2023,99
11/14/2023,67
11/15/2023,49
11/16/2023,67
11/17/2023,74
11/20/2023,67
11/21/2023,73
11/22/2023,45
11/27/2023,85
11/28/2023,49
11/29/2023,61
11/30/2023,48
12/1/2023,60
12/4/2023,77
12/5/2023,57
12/6/2023,65
12/7/2023,78
12/8/2023,76
12/11/2023,59
12/12/2023,46
12/13/2023,28
12/14/2023,25
12/15/2023,35
12/18/2023,49
12/19/2023,35
12/20/2023,26
12/21/2023,36
12/22/2023,44
12/27/2023,61
12/28/2023,68
12/29/2023,44
1/2/2024,49
1/3/2024,71
1/4/2024,40
1/5/2024,49
1/8/2024,65
1/9/2024,54
1/10/2024,42
1/11/2024,48
1/12/2024,61
1/16/2024,56
1/17/2024,46
1/18/2024,46
1/19/2024,53
1/22/2024,53
1/23/2024,46
1/24/2024,38
1/25/2024,42
1/26/2024,68
1/29/2024,85
1/30/2024,61
1/31/2024,58
2/1/2024,49
2/2/2024,77
2/5/2024,79
2/6/2024,54
2/7/2024,50
2/8/2024,54
2/9/2024,99
2/12/2024,78
2/13/2024,78
2/14/2024,43
2/15/2024,66
2/16/2024,81
2/19/2024,31
2/20/2024,75
2/21/2024,66
2/22/2024,60
2/23/2024,80
2/26/2024,80
2/27/2024,85
2/28/2024,87
2/29/2024,89
3/1/2024,49
3/4/2024,71
3/5/2024,65
3/6/2024,45
3/7/2024,47
3/8/2024,63
3/11/2024,56
3/12/2024,61
3/13/2024,54
3/14/2024,33
3/15/2024,53
3/18/2024,79
